id,title,artist,year,genre,style,sample
162,I Got 5 on It (Aphrodite's Original Dub Plate),Luniz,1998,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
163,Dana Dane Is Coming to Town,Dana Dane,1987,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
164,A Day in Your Life,Charizma and Peanut Butter Wolf,2009,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
165,Walk Like a Duck,Kurious,1992,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
166,Pay Jay,"Termanology feat. Rapper Big Pooh, Chaundon and Joe Scudda",2009,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
167,And We,"P. Diddy, Black Rob, Foxy Brown and Craig Mack feat. G. Dep, Kain and Big Azz Ko",2002,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
168,Talm' Bout,Chris Brown,2022,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
169,World Domination,Grav,1996,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
170,True to the Game,Ice Cube,1991,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
171,Louder,Oh No,2009,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
172,Ragtime,Evidence,2003,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
173,Sight,90sFlav,2018,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
174,Falling Down,Evidence and Rahki,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
175,1979,Jehst,2002,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
176,It's Been a Long Time (Suave House Mix),Rakim,1997,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
177,Coolin' in Cali,7A3,1988,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
178,G Style,Ice-T,1993,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
179,Confused,Diamond D and The Psychotic Neurotics feat. Jasmine and Michelle Sweeting,1992,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
180,Bis Hier Und Noch Weiter,Adel Tawil feat. KC Rebell and Summer Cem,2017,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
181,Train of Thought,Mic Geronimo,1995,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
182,Beacon N Blender,Da Mafia 6ix,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
183,Who Got My Back?,Trends of Culture,1993,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
184,Trouble Man,Inspectah Deck,1999,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
185,Living in the World of Hip Hop,MC Shan,1987,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
186,Black Unicorn,2 Chainz feat. Chrisette Michele and Sunni Patterson,2013,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
187,Middle of the Summer,Meek Mill and Mel Love,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
