,title,artist,year,sample,genre,style
119,Bird's Eye View,Xzibit feat. Tash and J-Ro,1996,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
120,I'm a African,Dead Prez,2000,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
121,Believe Me,Rapsody,2012,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
122,Sick Thoughts,Grav,1996,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
123,Lenguaje Roto,Dano feat. Elio Toffana,2019,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
124,BaDINGA!,TWRK,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
125,What's Next on the Menu,Pete Rock & C.L. Smooth,1993,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
126,Fear of a Black Planet,Public Enemy,1990,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
127,The Medicine,Planet Asia,2006,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
128,Make Money,French Montana and Chinx Drugz,2012,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
129,A Madman's Dream,The East Flatbush Project,1994,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
130,Feel the High Pt. II,Finsta Bundy,1997,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
131,Heute Nacht,Torch feat. Boulevard Bou,2000,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
132,Nature Calling,四街道ネイチャー,1998,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
133,Triple R,Nuff Ruffness,1993,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
134,Sober Thoughts (Lido's Forgotten Sunday Service),GoldLink,2016,https://www.whosampled.com/Mountain/Long-Red/,Electronic / Dance,Vocals / Lyrics
135,The Birth,Ice Cube feat. Khalid Muhammad,1991,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
136,Home T.E.A.M.,"Troy Ave feat. Action Bronson, Maffew Ragazino and Mr. Muthafuckin' eXquire",2012,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
137,100 Keep It,"V. Don feat. Smoke DZA, Bodega Bamz and Willie the Kid",2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
138,The Day It All Changed,G-EAZY,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
139,Waaaaaa,DJ Premier,2008,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
140,Right Now,"Meek Mill feat. French Montana, Mase and Cory Gunz",2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
141,Carry the Tradition,Skyzoo and Pete Rock feat. Styles P,2019,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
142,Lot to Learn,Luke Christopher,2015,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
143,Drug Dealer,Boogie Down Productions,1992,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
144,D.I.R.T. (Another Boot Camp Clik Yeah Song),Heltah Skeltah,2008,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
145,The Specialist,Ali Vegas,1999,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
146,Get Down,Monica,1995,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
